KomKode;Y;X;KmsCellId;NBefPer;Dagbefolk
155;6166650;730750;100M_61666_7307;44;1
155;6166650;730850;100M_61666_7308;37;0
155;6166650;730950;100M_61666_7309;11;16
155;6166650;731050;100M_61666_7310;24;1
155;6166650;731150;100M_61666_7311;20;11
155;6166650;731250;100M_61666_7312;22;2
155;6166650;731350;100M_61666_7313;44;3
155;6166650;731450;100M_61666_7314;28;8
185;6166750;725350;100M_61667_7253;42;0
185;6166750;725450;100M_61667_7254;27;0
185;6166750;725550;100M_61667_7255;23;1
185;6166750;725650;100M_61667_7256;38;0
185;6166750;725750;100M_61667_7257;25;2
185;6166750;725850;100M_61667_7258;29;0
185;6166750;725950;100M_61667_7259;35;4
185;6166750;726050;100M_61667_7260;33;2
185;6166750;726150;100M_61667_7261;39;0
185;6166750;726650;100M_61667_7266;2;1
155;6166750;728750;100M_61667_7287;3;1
155;6166750;728850;100M_61667_7288;18;22
155;6166750;728950;100M_61667_7289;13;23
155;6166750;729050;100M_61667_7290;3;0
155;6166750;729450;100M_61667_7294;1;6
155;6166750;729650;100M_61667_7296;2;0
155;6166750;729750;100M_61667_7297;12;0
155;6166750;729850;100M_61667_7298;12;0
155;6166750;729950;100M_61667_7299;16;1
155;6166750;730050;100M_61667_7300;14;0
155;6166750;730150;100M_61667_7301;8;0
155;6166750;730250;100M_61667_7302;8;0
155;6166750;730350;100M_61667_7303;22;3
155;6166750;730450;100M_61667_7304;21;0
155;6166750;730550;100M_61667_7305;87;2
155;6166750;730650;100M_61667_7306;26;0
155;6166750;730750;100M_61667_7307;21;0
155;6166750;730850;100M_61667_7308;24;1
155;6166750;730950;100M_61667_7309;28;1
155;6166750;731050;100M_61667_7310;8;0
155;6166750;731150;100M_61667_7311;41;14
155;6166750;731250;100M_61667_7312;40;15
155;6166750;731350;100M_61667_7313;76;11
155;6166750;731450;100M_61667_7314;85;2
155;6166750;731550;100M_61667_7315;32;2
183;6166850;711550;100M_61668_7115;4;0
185;6166850;725350;100M_61668_7253;27;2
185;6166850;725450;100M_61668_7254;31;1
185;6166850;725550;100M_61668_7255;40;3
185;6166850;725650;100M_61668_7256;21;0
185;6166850;725750;100M_61668_7257;42;4
185;6166850;725850;100M_61668_7258;42;1
185;6166850;725950;100M_61668_7259;35;1
185;6166850;726050;100M_61668_7260;33;10
185;6166850;726150;100M_61668_7261;34;0
155;6166850;728650;100M_61668_7286;2;0
155;6166850;728850;100M_61668_7288;37;1
155;6166850;728950;100M_61668_7289;0;1
155;6166850;729050;100M_61668_7290;31;1
155;6166850;729250;100M_61668_7292;27;10
155;6166850;729350;100M_61668_7293;0;19
155;6166850;730250;100M_61668_7302;3;0
155;6166850;730350;100M_61668_7303;25;1
155;6166850;730450;100M_61668_7304;22;0
155;6166850;730550;100M_61668_7305;74;5
155;6166850;730650;100M_61668_7306;22;5
155;6166850;730750;100M_61668_7307;24;4
155;6166850;730850;100M_61668_7308;38;1
155;6166850;730950;100M_61668_7309;31;1
155;6166850;731050;100M_61668_7310;12;8
155;6166850;731150;100M_61668_7311;17;0
155;6166850;731250;100M_61668_7312;50;7
155;6166850;731350;100M_61668_7313;91;4
155;6166850;731450;100M_61668_7314;91;10
155;6166850;731550;100M_61668_7315;20;2
155;6166850;731650;100M_61668_7316;0;2
183;6166950;711450;100M_61669_7114;40;0
183;6166950;711550;100M_61669_7115;20;0
185;6166950;725350;100M_61669_7253;39;0
185;6166950;725450;100M_61669_7254;37;2
185;6166950;725550;100M_61669_7255;38;1
185;6166950;725650;100M_61669_7256;26;1
185;6166950;725750;100M_61669_7257;34;1
185;6166950;725850;100M_61669_7258;32;0
185;6166950;725950;100M_61669_7259;46;1
185;6166950;726050;100M_61669_7260;39;1
185;6166950;726150;100M_61669_7261;10;0
185;6166950;726350;100M_61669_7263;2;0
155;6166950;728550;100M_61669_7285;14;1
155;6166950;728650;100M_61669_7286;2;0
155;6166950;728750;100M_61669_7287;3;0
155;6166950;728850;100M_61669_7288;20;0
155;6166950;728950;100M_61669_7289;42;1
155;6166950;729050;100M_61669_7290;2;1
155;6166950;729250;100M_61669_7292;0;12
155;6166950;730350;100M_61669_7303;23;2
155;6166950;730450;100M_61669_7304;32;0
155;6166950;730550;100M_61669_7305;50;1
155;6166950;730650;100M_61669_7306;28;3
155;6166950;730750;100M_61669_7307;33;0
155;6166950;730850;100M_61669_7308;36;2
155;6166950;730950;100M_61669_7309;50;1
155;6166950;731050;100M_61669_7310;34;0
155;6166950;731150;100M_61669_7311;2;11
155;6166950;731250;100M_61669_7312;27;71
155;6166950;731350;100M_61669_7313;67;10
155;6166950;731450;100M_61669_7314;82;10
169;6167050;701650;100M_61670_7016;6;3
169;6167050;702150;100M_61670_7021;2;0
183;6167050;711350;100M_61670_7113;27;1
183;6167050;711450;100M_61670_7114;34;1
183;6167050;711550;100M_61670_7115;28;1
183;6167050;711650;100M_61670_7116;14;0
185;6167050;725350;100M_61670_7253;28;2
185;6167050;725450;100M_61670_7254;35;0
185;6167050;725550;100M_61670_7255;37;1
185;6167050;725650;100M_61670_7256;36;0
185;6167050;725750;100M_61670_7257;28;0
185;6167050;725850;100M_61670_7258;39;3
185;6167050;725950;100M_61670_7259;37;3
185;6167050;726050;100M_61670_7260;31;4
185;6167050;726650;100M_61670_7266;1;0
